time,cloud_cover (%),wind_speed_100m (km/h)
2023-01-10T09:00,95,33.3
2023-01-10T10:00,100,37.5
2023-01-10T11:00,100,45
2023-01-10T12:00,100,53.4
2023-01-10T13:00,100,53.2
2023-01-10T14:00,100,51.6
2023-01-10T15:00,100,48
2023-01-10T16:00,100,49.6
2023-01-10T17:00,97,52.6
2023-01-10T18:00,100,53.7
2023-01-10T19:00,100,55
2023-01-10T20:00,100,56.7
2023-01-10T21:00,100,60.6
2023-01-10T22:00,100,57
2023-01-10T23:00,100,49.4
2023-01-11T00:00,51,43.4
2023-01-11T01:00,44,40.4
2023-01-11T02:00,17,39.8
2023-01-11T03:00,12,39.3
2023-01-11T04:00,0,40.4
2023-01-11T05:00,0,38.2
2023-01-11T06:00,1,38.1
2023-01-11T07:00,4,39.5
2023-01-11T08:00,26,39.8
2023-01-11T09:00,22,40.1
2023-01-11T10:00,1,41.7
2023-01-11T11:00,1,47.6
2023-01-11T12:00,5,40.8
2023-01-11T13:00,29,45.8
2023-01-11T14:00,50,50.2
2023-01-11T15:00,85,52
2023-01-11T16:00,100,53.1
2023-01-11T17:00,100,54
2023-01-11T18:00,40,54.7
2023-01-11T19:00,52,53.6
2023-01-11T20:00,64,50.7
2023-01-11T21:00,92,49.7
2023-01-11T22:00,82,45.7
2023-01-11T23:00,100,43.6
2023-01-12T00:00,100,46.3
2023-01-12T01:00,100,53.3
2023-01-12T02:00,100,60.4
2023-01-12T03:00,100,65.3
2023-01-12T04:00,100,63.4
2023-01-12T05:00,100,61.2
2023-01-12T06:00,24,56
2023-01-12T07:00,38,50.9
2023-01-12T08:00,47,46.1
2023-01-12T09:00,100,40.1
2023-01-12T10:00,100,40.6
2023-01-12T11:00,100,42.1
2023-01-12T12:00,100,42.3
2023-01-12T13:00,100,46.6
2023-01-12T14:00,100,45.2
2023-01-12T15:00,100,49.9
2023-01-12T16:00,55,47.7
2023-01-12T17:00,45,51
2023-01-12T18:00,4,45.1
2023-01-12T19:00,24,48.6
2023-01-12T20:00,0,51.4
2023-01-12T21:00,1,55.3
2023-01-12T22:00,2,55.1
2023-01-12T23:00,3,57
2023-01-13T00:00,2,56.9
2023-01-13T01:00,1,58.3
2023-01-13T02:00,1,52.2
2023-01-13T03:00,21,55.2
2023-01-13T04:00,49,53.3
2023-01-13T05:00,70,50.6
2023-01-13T06:00,34,52.6
2023-01-13T07:00,100,53.2
2023-01-13T08:00,100,49.4
2023-01-13T09:00,100,48.9
2023-01-13T10:00,41,50.4
2023-01-13T11:00,100,48.8
2023-01-13T12:00,43,47.7
2023-01-13T13:00,43,48.4
2023-01-13T14:00,4,51.6
2023-01-13T15:00,25,50.4
2023-01-13T16:00,9,49
2023-01-13T17:00,54,46.1
2023-01-13T18:00,13,45
2023-01-13T19:00,22,43.6
2023-01-13T20:00,79,41.2
2023-01-13T21:00,87,37.4
2023-01-13T22:00,68,34.6
2023-01-13T23:00,35,32.8
2023-01-14T00:00,50,34.6
2023-01-14T01:00,83,36
2023-01-14T02:00,89,37.8
2023-01-14T03:00,93,37.3
2023-01-14T04:00,100,40.9
2023-01-14T05:00,100,44.4
2023-01-14T06:00,100,49.2
2023-01-14T07:00,100,51.9
2023-01-14T08:00,100,58.7
2023-01-14T09:00,100,62
2023-01-14T10:00,100,60.6
2023-01-14T11:00,100,53.7
2023-01-14T12:00,100,50.8
2023-01-14T13:00,100,43
2023-01-14T14:00,100,39.3
2023-01-14T15:00,100,36.4
2023-01-14T16:00,100,40.3
2023-01-14T17:00,62,41.5
2023-01-14T18:00,90,46.2
2023-01-14T19:00,83,47.9
2023-01-14T20:00,55,47.6
2023-01-14T21:00,30,48
2023-01-14T22:00,30,49.5
2023-01-14T23:00,30,46.7
2023-01-15T00:00,11,49.3
2023-01-15T01:00,0,50.6
2023-01-15T02:00,0,50.1
2023-01-15T03:00,0,51.2
2023-01-15T04:00,12,52.7
2023-01-15T05:00,1,51.8
2023-01-15T06:00,11,51.3
2023-01-15T07:00,93,49.8
2023-01-15T08:00,100,50.7
2023-01-15T09:00,100,50.4
2023-01-15T10:00,62,47.7
2023-01-15T11:00,92,43
2023-01-15T12:00,100,48.5
2023-01-15T13:00,86,40.5
2023-01-15T14:00,57,36.5
2023-01-15T15:00,30,33.2
2023-01-15T16:00,30,28.7
2023-01-15T17:00,24,28
2023-01-15T18:00,10,28.7
2023-01-15T19:00,0,27.7
2023-01-15T20:00,0,27
2023-01-15T21:00,7,26.8
2023-01-15T22:00,56,26.7
2023-01-15T23:00,20,20.2
2023-01-16T00:00,30,22.1
2023-01-16T01:00,45,20.5
2023-01-16T02:00,31,16.2
2023-01-16T03:00,62,14.5
2023-01-16T04:00,100,15.7
2023-01-16T05:00,94,15.9
2023-01-16T06:00,100,20
2023-01-16T07:00,100,23.5
2023-01-16T08:00,100,27
2023-01-16T09:00,100,32.7
2023-01-16T10:00,100,29.5
2023-01-16T11:00,100,29.9
2023-01-16T12:00,94,36.6
2023-01-16T13:00,70,41.4
2023-01-16T14:00,61,47.3
2023-01-16T15:00,89,45.9
2023-01-16T16:00,87,45.2
2023-01-16T17:00,27,40.2
2023-01-16T18:00,24,37.8
2023-01-16T19:00,30,34.9
2023-01-16T20:00,15,33.8
2023-01-16T21:00,0,33
2023-01-16T22:00,0,30.3
2023-01-16T23:00,0,29.6
2023-01-17T00:00,0,28.1
2023-01-17T01:00,0,26.7
2023-01-17T02:00,0,25.4
2023-01-17T03:00,0,24.6
2023-01-17T04:00,0,23.6
2023-01-17T05:00,1,22
2023-01-17T06:00,0,21.5
2023-01-17T07:00,0,22
2023-01-17T08:00,0,21.6
2023-01-17T09:00,0,21.3
2023-01-17T10:00,0,24.9
2023-01-17T11:00,0,15.3
2023-01-17T12:00,2,15
2023-01-17T13:00,1,15.9
2023-01-17T14:00,0,16.4
2023-01-17T15:00,0,18.6
2023-01-17T16:00,0,21.2
2023-01-17T17:00,0,23.3
2023-01-17T18:00,0,23.1
2023-01-17T19:00,0,26.3
2023-01-17T20:00,0,28.2
2023-01-17T21:00,0,28.5
2023-01-17T22:00,0,28.5
2023-01-17T23:00,0,27.1
2023-01-18T00:00,0,29.6
2023-01-18T01:00,0,29.7
2023-01-18T02:00,0,28.9
2023-01-18T03:00,0,30.9
2023-01-18T04:00,79,32.4
2023-01-18T05:00,49,33.5
2023-01-18T06:00,0,33.3
2023-01-18T07:00,2,33.6
2023-01-18T08:00,30,32.4
2023-01-18T09:00,32,33.7
2023-01-18T10:00,77,31.6
2023-01-18T11:00,79,28.4
2023-01-18T12:00,94,30.3
2023-01-18T13:00,18,29.9
2023-01-18T14:00,0,31.1
2023-01-18T15:00,0,34.7
2023-01-18T16:00,16,34.7
2023-01-18T17:00,7,34.7
2023-01-18T18:00,2,35.1
2023-01-18T19:00,52,37
2023-01-18T20:00,90,36.8
2023-01-18T21:00,86,36.2
2023-01-18T22:00,32,35.9
2023-01-18T23:00,15,35.2
2023-01-19T00:00,0,35.3
2023-01-19T01:00,0,31.9
2023-01-19T02:00,0,31.9
2023-01-19T03:00,0,31.3
2023-01-19T04:00,0,29.4
2023-01-19T05:00,0,28.5
2023-01-19T06:00,0,27.5
2023-01-19T07:00,0,25.7
2023-01-19T08:00,0,25.6
2023-01-19T09:00,0,24.8
2023-01-19T10:00,0,27.4
2023-01-19T11:00,0,18.1
2023-01-19T12:00,10,18.7
2023-01-19T13:00,12,17.7
2023-01-19T14:00,4,17.6
2023-01-19T15:00,14,20.9
2023-01-19T16:00,11,21
2023-01-19T17:00,7,25.2
2023-01-19T18:00,57,26.6
2023-01-19T19:00,89,28.4
2023-01-19T20:00,55,29.6
2023-01-19T21:00,10,28.2
2023-01-19T22:00,89,29.2
2023-01-19T23:00,0,30.3
2023-01-20T00:00,8,29.6
2023-01-20T01:00,10,30.8
2023-01-20T02:00,9,31.5
2023-01-20T03:00,1,32.7
2023-01-20T04:00,17,33.4
2023-01-20T05:00,16,34.3
2023-01-20T06:00,25,33.8
2023-01-20T07:00,11,34.6
2023-01-20T08:00,35,34.9
2023-01-20T09:00,71,36
2023-01-20T10:00,76,37.6
2023-01-20T11:00,60,37.4
2023-01-20T12:00,27,34.9
2023-01-20T13:00,21,36.5
2023-01-20T14:00,26,38.4
2023-01-20T15:00,22,36.4
2023-01-20T16:00,27,34.9
2023-01-20T17:00,18,33.9
2023-01-20T18:00,36,32.2
2023-01-20T19:00,30,30.5
2023-01-20T20:00,88,27.4
2023-01-20T21:00,69,26.2
2023-01-20T22:00,48,24.2
2023-01-20T23:00,89,22.1
2023-01-21T00:00,86,21.8
2023-01-21T01:00,16,19.1
2023-01-21T02:00,4,17
2023-01-21T03:00,14,18.9
2023-01-21T04:00,25,17.4
2023-01-21T05:00,10,13.9
2023-01-21T06:00,1,13.6
2023-01-21T07:00,0,13.2
2023-01-21T08:00,0,12.7
2023-01-21T09:00,0,10.7
2023-01-21T10:00,0,8.1
2023-01-21T11:00,7,8.8
2023-01-21T12:00,11,5.4
2023-01-21T13:00,31,5.9
2023-01-21T14:00,60,8.3
2023-01-21T15:00,48,8.9
2023-01-21T16:00,13,5.1
2023-01-21T17:00,1,5.4
2023-01-21T18:00,1,7.6
2023-01-21T19:00,4,8
2023-01-21T20:00,25,7.1
2023-01-21T21:00,64,6.9
2023-01-21T22:00,82,6.3
2023-01-21T23:00,89,5.7
2023-01-22T00:00,90,5.2
2023-01-22T01:00,90,6.4
2023-01-22T02:00,90,5.8
2023-01-22T03:00,90,4.7
2023-01-22T04:00,90,1.5
2023-01-22T05:00,90,1.1
2023-01-22T06:00,90,2.4
2023-01-22T07:00,90,5.1
2023-01-22T08:00,90,5.9
2023-01-22T09:00,90,7
2023-01-22T10:00,90,6.3
2023-01-22T11:00,90,4.1
2023-01-22T12:00,90,4.9
2023-01-22T13:00,90,4
2023-01-22T14:00,90,4.9
2023-01-22T15:00,90,7.6
2023-01-22T16:00,94,6
2023-01-22T17:00,100,6.8
2023-01-22T18:00,88,2.5
2023-01-22T19:00,98,6.2
2023-01-22T20:00,100,7.2
2023-01-22T21:00,100,7.3
2023-01-22T22:00,90,7.8
2023-01-22T23:00,94,7.6
2023-01-23T00:00,94,6.6
2023-01-23T01:00,90,7.5
2023-01-23T02:00,93,7.6
2023-01-23T03:00,91,9.6
2023-01-23T04:00,90,6.9
2023-01-23T05:00,90,6.5
2023-01-23T06:00,90,6
2023-01-23T07:00,90,6.1
2023-01-23T08:00,90,6.1
2023-01-23T09:00,90,6.3
2023-01-23T10:00,100,5.4
2023-01-23T11:00,100,6.9
2023-01-23T12:00,100,8
2023-01-23T13:00,100,9.6
2023-01-23T14:00,100,8.5
2023-01-23T15:00,100,8.7
2023-01-23T16:00,94,8.1
2023-01-23T17:00,100,9
2023-01-23T18:00,100,9.7
2023-01-23T19:00,100,10.8
2023-01-23T20:00,100,9.6
2023-01-23T21:00,91,11.9
2023-01-23T22:00,90,11.5
2023-01-23T23:00,72,9.8
2023-01-24T00:00,88,11.3
2023-01-24T01:00,82,11.7
2023-01-24T02:00,79,9.6
2023-01-24T03:00,67,7.5
2023-01-24T04:00,79,7.6
2023-01-24T05:00,84,5.7
2023-01-24T06:00,70,2.9
2023-01-24T07:00,90,1.1
2023-01-24T08:00,91,0.7
2023-01-24T09:00,90,1.4
2023-01-24T10:00,90,2.2
2023-01-24T11:00,90,3.6
2023-01-24T12:00,90,4.8
2023-01-24T13:00,90,2.5
2023-01-24T14:00,53,0.4
2023-01-24T15:00,39,0.4
2023-01-24T16:00,50,1.8
2023-01-24T17:00,90,3
2023-01-24T18:00,90,4.3
2023-01-24T19:00,90,5.1
2023-01-24T20:00,90,4
2023-01-24T21:00,90,6.3
2023-01-24T22:00,90,8.7
2023-01-24T23:00,90,9.7
2023-01-25T00:00,90,11.3
2023-01-25T01:00,90,14.1
2023-01-25T02:00,90,14.1
2023-01-25T03:00,90,14.8
2023-01-25T04:00,90,15.2
2023-01-25T05:00,90,15.8
2023-01-25T06:00,90,17.6
2023-01-25T07:00,90,21.7
2023-01-25T08:00,90,26.9
2023-01-25T09:00,90,31.8
2023-01-25T10:00,90,24.5
2023-01-25T11:00,90,24
2023-01-25T12:00,90,23.3
2023-01-25T13:00,100,23.9
2023-01-25T14:00,100,24.7
2023-01-25T15:00,100,24.8
2023-01-25T16:00,100,25.8
2023-01-25T17:00,100,27
2023-01-25T18:00,100,27.3
2023-01-25T19:00,100,30.1
2023-01-25T20:00,100,30.4
2023-01-25T21:00,100,35.4
2023-01-25T22:00,30,40.3
2023-01-25T23:00,8,35.7
2023-01-26T00:00,0,38.2
2023-01-26T01:00,0,36.8
2023-01-26T02:00,14,35.7
2023-01-26T03:00,11,34.6
2023-01-26T04:00,21,33.5
2023-01-26T05:00,39,32.4
2023-01-26T06:00,21,32.2
2023-01-26T07:00,35,31.2
2023-01-26T08:00,27,31.3
2023-01-26T09:00,25,31.4
2023-01-26T10:00,14,31.3
2023-01-26T11:00,27,33.4
2023-01-26T12:00,27,32.8
2023-01-26T13:00,53,35.5
2023-01-26T14:00,55,35.6
2023-01-26T15:00,28,37.4
2023-01-26T16:00,18,35.9
2023-01-26T17:00,42,34.8
2023-01-26T18:00,46,32.2
2023-01-26T19:00,59,30.6
2023-01-26T20:00,4,29.2
2023-01-26T21:00,4,29.9
2023-01-26T22:00,5,30.6
2023-01-26T23:00,32,31
2023-01-27T00:00,76,29.9
2023-01-27T01:00,80,29.5
2023-01-27T02:00,81,30.1
2023-01-27T03:00,37,29.1
2023-01-27T04:00,44,29.3
2023-01-27T05:00,37,30.3
2023-01-27T06:00,22,29.1
2023-01-27T07:00,29,27.2
2023-01-27T08:00,45,25.2
2023-01-27T09:00,12,23.5
2023-01-27T10:00,1,22.3
2023-01-27T11:00,4,21.1
2023-01-27T12:00,1,19.7
2023-01-27T13:00,0,20.9
2023-01-27T14:00,0,21.5
2023-01-27T15:00,19,21.6
2023-01-27T16:00,28,19.6
2023-01-27T17:00,90,18.9
2023-01-27T18:00,34,17.8
2023-01-27T19:00,29,17.1
2023-01-27T20:00,31,15.8
2023-01-27T21:00,69,13.5
2023-01-27T22:00,99,11.3
2023-01-27T23:00,90,7.8
2023-01-28T00:00,90,10.7
2023-01-28T01:00,90,11
2023-01-28T02:00,90,9.9
2023-01-28T03:00,76,14.6
2023-01-28T04:00,66,16.5
2023-01-28T05:00,77,14.3
2023-01-28T06:00,19,16.1
2023-01-28T07:00,22,19
2023-01-28T08:00,23,19.2
2023-01-28T09:00,4,17.1
2023-01-28T10:00,24,18.1
2023-01-28T11:00,10,12.1
2023-01-28T12:00,42,9.7
2023-01-28T13:00,14,9.5
2023-01-28T14:00,83,13.2
2023-01-28T15:00,100,13.1
2023-01-28T16:00,100,12.3
2023-01-28T17:00,100,12.7
2023-01-28T18:00,100,12.4
2023-01-28T19:00,93,12.6
2023-01-28T20:00,45,14.6
2023-01-28T21:00,94,17.2
2023-01-28T22:00,100,18.5
2023-01-28T23:00,100,18.9
2023-01-29T00:00,100,18.3
2023-01-29T01:00,100,18.8
2023-01-29T02:00,100,21.2
2023-01-29T03:00,100,23.3
2023-01-29T04:00,100,23.7
2023-01-29T05:00,100,24.6
2023-01-29T06:00,100,25.2
2023-01-29T07:00,100,26.3
2023-01-29T08:00,100,27.2
2023-01-29T09:00,94,27.4
2023-01-29T10:00,100,29
2023-01-29T11:00,100,27.7
2023-01-29T12:00,100,30.6
2023-01-29T13:00,100,35.4
2023-01-29T14:00,100,34.2
2023-01-29T15:00,80,31.9
2023-01-29T16:00,48,30.8
2023-01-29T17:00,37,32.9
2023-01-29T18:00,23,35.3
2023-01-29T19:00,2,38.2
2023-01-29T20:00,19,39
2023-01-29T21:00,1,40.7
2023-01-29T22:00,11,43.7
2023-01-29T23:00,100,43.2
2023-01-30T00:00,64,43.2
2023-01-30T01:00,90,45.8
2023-01-30T02:00,100,47.1
2023-01-30T03:00,91,38.6
2023-01-30T04:00,23,36.6
2023-01-30T05:00,16,42.1
2023-01-30T06:00,18,45.6
2023-01-30T07:00,19,46
2023-01-30T08:00,29,45.4
2023-01-30T09:00,12,43.5
2023-01-30T10:00,2,41.2
2023-01-30T11:00,1,34.9
2023-01-30T12:00,0,35
2023-01-30T13:00,2,37.6
2023-01-30T14:00,4,37.5
2023-01-30T15:00,10,31.7
2023-01-30T16:00,7,25.1
2023-01-30T17:00,7,23.2
2023-01-30T18:00,4,25.8
2023-01-30T19:00,3,28.4
2023-01-30T20:00,1,28.1
2023-01-30T21:00,1,28.9
2023-01-30T22:00,1,28.2
2023-01-30T23:00,0,28.9
2023-01-31T00:00,26,32.2
2023-01-31T01:00,82,34.3
2023-01-31T02:00,94,36
2023-01-31T03:00,100,39.9
2023-01-31T04:00,100,41.9
2023-01-31T05:00,36,40
2023-01-31T06:00,100,40.3
2023-01-31T07:00,100,43.1
2023-01-31T08:00,89,45.3
2023-01-31T09:00,31,44.5
2023-01-31T10:00,14,45
2023-01-31T11:00,26,39.7
2023-01-31T12:00,29,44.9
2023-01-31T13:00,37,45.3
2023-01-31T14:00,47,43.1
2023-01-31T15:00,4,43
2023-01-31T16:00,2,38.5
2023-01-31T17:00,2,37.2
2023-01-31T18:00,1,37.8
2023-01-31T19:00,1,37.5
2023-01-31T20:00,16,36.2
2023-01-31T21:00,22,37.5
2023-01-31T22:00,42,39.4
2023-01-31T23:00,19,40.7
2023-02-01T00:00,55,42.9
2023-02-01T01:00,30,42.2
2023-02-01T02:00,29,40.6
2023-02-01T03:00,61,42.7
2023-02-01T04:00,25,44.1
2023-02-01T05:00,30,42.5
2023-02-01T06:00,19,46
2023-02-01T07:00,33,48.5
2023-02-01T08:00,32,48.2
2023-02-01T09:00,52,50.3
2023-02-01T10:00,69,54.5
2023-02-01T11:00,42,41.5
2023-02-01T12:00,40,44.6
2023-02-01T13:00,68,43.3
2023-02-01T14:00,80,42.9
2023-02-01T15:00,73,43.6
2023-02-01T16:00,99,43.5
2023-02-01T17:00,100,43.9
2023-02-01T18:00,100,40.1
2023-02-01T19:00,100,42.6
2023-02-01T20:00,56,42.1
2023-02-01T21:00,29,39.3
2023-02-01T22:00,27,39.7
2023-02-01T23:00,58,39.2
2023-02-02T00:00,100,39
2023-02-02T01:00,100,39.7
2023-02-02T02:00,100,39.6
2023-02-02T03:00,100,39.2
2023-02-02T04:00,61,38.2
2023-02-02T05:00,87,38
2023-02-02T06:00,68,37.9
2023-02-02T07:00,100,37.5
2023-02-02T08:00,100,34.3
2023-02-02T09:00,100,34.5
2023-02-02T10:00,100,36.4
2023-02-02T11:00,100,30
2023-02-02T12:00,100,39.3
2023-02-02T13:00,83,37.8
2023-02-02T14:00,58,36.9
2023-02-02T15:00,88,36.2
2023-02-02T16:00,35,36.1
2023-02-02T17:00,39,36.1
2023-02-02T18:00,40,37.4
2023-02-02T19:00,100,36.4
2023-02-02T20:00,100,38.2
2023-02-02T21:00,69,37.9
2023-02-02T22:00,100,38
2023-02-02T23:00,100,39.4
2023-02-03T00:00,71,41
2023-02-03T01:00,64,40.7
2023-02-03T02:00,62,41.6
2023-02-03T03:00,100,44.4
2023-02-03T04:00,100,45.7
2023-02-03T05:00,100,43.7
2023-02-03T06:00,100,43.6
2023-02-03T07:00,100,41.9
2023-02-03T08:00,100,39.7
2023-02-03T09:00,68,37.2
2023-02-03T10:00,100,36
2023-02-03T11:00,100,33.4
2023-02-03T12:00,100,30.2
2023-02-03T13:00,92,34.3
2023-02-03T14:00,100,31.8
2023-02-03T15:00,59,29.6
2023-02-03T16:00,32,28.6
2023-02-03T17:00,34,32
2023-02-03T18:00,100,34.3
2023-02-03T19:00,100,30
2023-02-03T20:00,100,26.4
2023-02-03T21:00,100,24.8
2023-02-03T22:00,90,25.1
2023-02-03T23:00,22,26.9
2023-02-04T00:00,4,25.2
2023-02-04T01:00,6,24.7
2023-02-04T02:00,4,24.5
2023-02-04T03:00,2,23.3
2023-02-04T04:00,31,22.2
2023-02-04T05:00,70,22.4
2023-02-04T06:00,73,21.6
2023-02-04T07:00,95,19.6
2023-02-04T08:00,100,17.4
2023-02-04T09:00,94,15.9
2023-02-04T10:00,100,15.7
2023-02-04T11:00,100,13.3
2023-02-04T12:00,100,14.9
2023-02-04T13:00,100,16.5
